GioiTinh,TinhTrangHonNhan,NgheNghiep,KhuVuc,HinhThuc,Mang,TienDT,HonNhan
Nam,DangCoGiaDinh,HanhChinh,Bac,TraTruoc,Viettel,67,2
Nam,DangCoGiaDinh,TXTN,Bac,TraTruoc,Beeline,136,2
Nu,ChuaLapGiaDinh,CongNhan,Bac,TraTruoc,Beeline,4,1
Nam,LyHon,TXCN,Bac,TraTruoc,VinaPhone,80,3
Nu,LyHon,TXCN,Trung,TraTruoc,VinaPhone,196,3
Nu,DangCoGiaDinh,TXTN,Nam,TraTruoc,Beeline,251,2
Nu,ChuaLapGiaDinh,HanhChinh,Bac,TraSau,VinaPhone,108,1
Nu,DangCoGiaDinh,CongNhan,Nam,TraTruoc,VinaPhone,73,2
Nu,DangCoGiaDinh,HanhChinh,Bac,TraSau,VinaPhone,117,2
Nam,DangCoGiaDinh,KyThuat,Nam,TraTruoc,Viettel,69,2
Nu,DangCoGiaDinh,TXCN,Trung,TraSau,Mobiphone,106,2
Nam,ChuaLapGiaDinh,TXCN,Bac,TraTruoc,VinaPhone,156,1
Nu,DangCoGiaDinh,HanhChinh,Trung,TraTruoc,VinaPhone,62,2
Nam,ChuaLapGiaDinh,CongNhan,Trung,TraTruoc,Viettel,87,1
Nu,ChuaLapGiaDinh,VHNT,Nam,TraTruoc,S-Phone,179,1
Nu,ChuaLapGiaDinh,TXCN,Trung,TraSau,Mobiphone,137,1
Nam,ChuaLapGiaDinh,HanhChinh,Bac,TraTruoc,Mobiphone,50,1
Nu,ChuaLapGiaDinh,KyThuat,Trung,TraTruoc,Viettel,15,1
Nu,DangCoGiaDinh,CongNhan,Nam,TraTruoc,EVNTelecom,192,2
Nam,ChuaLapGiaDinh,CongNhan,Trung,TraTruoc,VinaPhone,90,1
Nam,DangCoGiaDinh,TXCN,Nam,TraTruoc,Mobiphone,82,2
Nu,LyHon,TXTN,Trung,TraTruoc,VinaPhone,120,3
Nu,DangCoGiaDinh,CongNhan,Nam,TraTruoc,Viettel,220,2
Nam,LyHon,TXCN,Trung,TraTruoc,Viettel,99,3
Nam,ChuaLapGiaDinh,HSSV,Nam,TraTruoc,VinaPhone,160,1
Nam,ChuaLapGiaDinh,TXCN,Nam,TraSau,VinaPhone,186,1
Nu,ChuaLapGiaDinh,CongNhan,Bac,TraTruoc,Mobiphone,103,1
Nam,DangCoGiaDinh,TXTN,Nam,TraTruoc,Viettel,115,2
Nu,DangCoGiaDinh,HanhChinh,Nam,TraSau,Viettel,227,2
Nu,DangCoGiaDinh,CongNhan,Nam,TraTruoc,Viettel,76,2
Nam,ChuaLapGiaDinh,LaoDongDacBiet,Bac,TraSau,VinaPhone,148,1
Nam,DangCoGiaDinh,TXCN,Trung,TraTruoc,Viettel,33,2
Nam,DangCoGiaDinh,KyThuat,Bac,TraTruoc,Viettel,82,2
Nu,ChuaLapGiaDinh,KyThuat,Nam,TraTruoc,VinaPhone,143,1
Nu,DangCoGiaDinh,VHNT,Bac,TraTruoc,Viettel,101,2
Nam,ChuaLapGiaDinh,HanhChinh,Bac,TraTruoc,Mobiphone,116,1
Nu,ChuaLapGiaDinh,VHNT,Bac,TraSau,VinaPhone,178,1
Nam,DangCoGiaDinh,TXCN,Nam,TraTruoc,VinaPhone,66,2
Nu,ChuaLapGiaDinh,CongNhan,Bac,TraSau,Viettel,57,1
Nam,ChuaLapGiaDinh,CongNhan,Bac,TraSau,Viettel,121,1
Nam,DangCoGiaDinh,TXTN,Trung,TraTruoc,VinaPhone,132,2
Nu,DangCoGiaDinh,TXCN,Trung,TraSau,Mobiphone,50,2
Nu,ChuaLapGiaDinh,TXCN,Bac,TraTruoc,VinaPhone,98,1
Nu,ChuaLapGiaDinh,HSSV,Trung,TraTruoc,Mobiphone,194,1
Nam,ChuaLapGiaDinh,LaoDongDacBiet,Bac,TraTruoc,Mobiphone,82,1
Nam,DangCoGiaDinh,CongNhan,Nam,TraTruoc,Vietnamobile,254,2
Nu,ChuaLapGiaDinh,VHNT,Trung,TraTruoc,Mobiphone,214,1
Nam,DangCoGiaDinh,TXTN,Trung,TraTruoc,Viettel,90,2
Nu,DangCoGiaDinh,HSSV,Trung,TraSau,VinaPhone,139,2
Nam,LyHon,HanhChinh,Nam,TraTruoc,EVNTelecom,56,3
